tau_lo,tau_hi,delta,N_total,N_keep,N_erasure,Erasure_frac,Erasure_atom,Erasure_bkd,Erasure_TP,Erasure_TN,Erasure_FP,Erasure_FN,Keep_TP,Keep_TN,Keep_FP,Keep_FN,F1_data,F0_data,f_kept,F_data,N_error,N_correct,N_erase_error,N_erase_correct,P_erase_given_error,P_erase_given_correct,F1_cdf,F0_cdf,eps_atom_cdf,eps_bkd_cdf,eps_cdf,F1_cond_cdf,F0_cond_cdf,f_kept_cdf,F_cdf,P_erase_error_cdf,P_erase_correct_cdf,F_loss_data,N_erasure_loss,F_loss_cdf,P_erase_error_loss_cdf,P_erase_correct_loss_cdf
0.5,0.5,0.0,21996,21996,0,0.0,0,0,0,0,0,0,7937,13496,227,336,0.9593859543091986,0.983458427457553,0.3761138388797963,0.9744044371703946,563,21433,0,0,0.0,0.0,0.9783588,0.9982243,0.0,0.0,0.0,0.9783588,0.9982243,0.3761138388797963,0.9907526105337334,0.0,0.0,0.9744044371703946,0,0.9907675369067104,0.0,0.0
0.495,0.505,0.0050000000000000044,21996,21993,3,0.00013638843426077467,2,1,2,0,1,0,7935,13496,226,336,0.9593761334784185,0.9835300976534033,0.37607420542900016,0.9744464147683354,563,21433,1,2,0.0017761989342806395,9.331404842999113e-05,0.9782937,0.9981827,0.0001325,8.05e-05,0.0001000579196217494,0.9784233410926948,0.9982630601763443,0.37610163574338357,0.9908013093762945,0.005365756961905785,5.090945476944354e-05,0.9744464147683354,3,0.9908154142914078,0.005284904422645982,5.133742331193125e-05
0.49,0.51,0.010000000000000009,21996,21992,4,0.0001818512456810329,2,2,2,1,1,0,7935,13495,226,336,0.9593761334784185,0.9835288973106916,0.3760913059294289,0.9744452528192069,563,21433,1,3,0.0017761989342806395,0.0001399710726449867,0.9782298,0.9981412,0.0002571,0.0001623,0.0001979555919258047,0.9784813675595996,0.9983032246133546,0.37609158944502724,0.9908483908882558,0.01055346128517959,0.00010130038935806107,0.9744452528192069,4,0.9908633710772881,0.010575794252081348,0.00010100812204403683
0.485,0.515,0.015000000000000013,21996,21991,5,0.00022731405710129114,3,2,3,1,1,0,7934,13495,226,336,0.9593712212817412,0.9835288973106916,0.3760629348369788,0.9744440907644035,563,21433,1,4,0.0017761989342806395,0.00018662809685998226,0.9781591,0.9981008,0.000393,0.0002359,0.000294987484088016,0.9785436676613909,0.9983363075349475,0.3760769641385913,0.990892751619012,0.015445181592750485,0.00015358008942380647,0.9744440907644035,5,0.9909074678301231,0.015442929098990562,0.00014974272788756114
0.48,0.52,0.020000000000000018,21996,21989,7,0.0003182396799418076,3,4,3,2,2,0,7934,13494,225,336,0.9593712212817412,0.9835993877104745,0.37609713947883033,0.9744872436218108,563,21433,2,5,0.003552397868561279,0.00023328512107497783,0.9780923,0.9980618,0.0005239,0.0003118,0.00039157374522640477,0.9786049911548661,0.9983730927303133,0.37606404964797285,0.9909390203979982,0.02054178713634269,0.0002034976613736958,0.9744872436218108,7,0.9909524079082943,0.0203997268661174,0.00019686422288695937
0.475,0.525,0.025000000000000022,21996,21985,11,0.0005000909256228405,5,6,3,3,3,2,7934,13493,224,334,0.9596032897919691,0.983669898665889,0.37607459631566975,0.9746190584489425,563,21433,5,6,0.008880994671403197,0.0002799421452899734,0.9780264,0.9980196,0.0006533,0.0003892,0.0004885316648481542,0.9786657623425383,0.9984081804638365,0.3760518369388251,0.990984007863708,0.025499296691610357,0.0002550886412389069,0.9746190584489425,11,0.9909981334179682,0.025446824256956612,0.0002495285127391246
0.47,0.53,0.030000000000000027,21996,21980,16,0.0007274049827241316,6,10,4,7,3,2,7933,13489,224,334,0.9595984032901899,0.9836651352730985,0.3761146496815287,0.9746132848043676,563,21433,5,11,0.008880994671403197,0.0005132272663649513,0.9779631,0.9979773,0.0007817,0.0004664,0.0005849886933987998,0.9787281718119053,0.9984429738029816,0.3760398097289032,0.9910294234134143,0.030501642283619432,0.00030575556866636335,0.9746132848043676,16,0.9910433892042738,0.030439668403992662,0.0003001732662252208
0.46499999999999997,0.535,0.03500000000000003,21996,21980,16,0.0007274049827241316,6,10,4,7,3,2,7933,13489,224,334,0.9595984032901899,0.9836651352730985,0.3761146496815287,0.9746132848043676,563,21433,5,11,0.008880994671403197,0.0005132272663649513,0.9778953,0.99793,0.0009156,0.0005464,0.0006852612293144209,0.9787914814804435,0.998475567049836,0.37602714587315467,0.9910738165340545,0.03539623468547473,0.0003612793524163763,0.9746132848043676,16,0.9910882130898933,0.035388376146591086,0.00035494813117302384
0.46,0.54,0.04000000000000001,21996,21978,18,0.0008183306055646482,7,11,4,8,3,3,7933,13488,224,333,0.9597144931042826,0.9836639439906651,0.37610337610337613,0.9746564746564748,563,21433,6,12,0.010657193605683837,0.0005598842905799468,0.9778331,0.9978835,0.0010401,0.0006256,0.0007814991862156756,0.9788512031363822,0.9985081667090933,0.3760164994643125,0.991116824076385,0.04013627183766126,0.00041417347221302416,0.9746564746564748,18,0.9911310724349324,0.04012117148034255,0.000409296059352857
0.455,0.545,0.04500000000000001,21996,21973,23,0.0010456446626659394,9,14,6,10,4,3,7931,13486,223,333,0.9597047434656341,0.9837333138813917,0.3760979383789196,0.9746962180858325,563,21433,7,16,0.012433392539964476,0.0007465123874399291,0.9777722,0.9978367,0.0011619,0.0007057,0.0008772831332969631,0.9789095950584985,0.9985413706452644,0.37600669654328606,0.9911596915596055,0.04485984729778702,0.00046676299312292744,0.9746962180858325,23,0.9911754572019613,0.04501941025319594,0.00046344302320808407
0.45,0.55,0.05000000000000002,21996,21969,27,0.0012274959083469722,10,17,7,11,6,3,7930,13485,221,333,0.9596998668764372,0.9838756748869109,0.3761208976284765,0.9747826482771178,563,21433,9,18,0.015985790408525755,0.0008398264358699202,0.9777062,0.9977914,0.0012952,0.0007859,0.0009774547781414803,0.9789741673415407,0.9985761810206641,0.3759942135762929,0.9912059373028703,0.049951672244867504,0.0005203440343439179,0.9747826482771178,27,0.9912209697612455,0.0500406746184837,0.0005185028705822271
0.44,0.56,0.060000000000000026,21996,21962,34,0.0015457355882887798,11,23,8,16,7,3,7929,13480,220,333,0.9596949891067538,0.983941605839416,0.3761952463345779,0.974820143884892,563,21433,10,24,0.017761989342806393,0.0011197685811598936,0.9775775,0.997689,0.0015542,0.000947,0.0011753763229678123,0.9790992160015095,0.998634707067593,0.3759711903867079,0.9912899252366887,0.05921155593162697,0.000633683926430647,0.974820143884892,34,0.9913060946663338,0.05943774358088118,0.0006301836868194977
0.43,0.5700000000000001,0.07000000000000003,21996,21957,39,0.0017730496453900709,15,24,10,17,7,5,7927,13479,220,331,0.9599176556066844,0.9839404336082925,0.37609873844332103,0.9749054971079838,563,21433,12,27,0.021314387211367674,0.0012597396538048804,0.9774517,0.9975821,0.0018056,0.0011125,0.001373184501727587,0.9792197792333838,0.9986931461250641,0.37595097778842335,0.9913721148013042,0.06827353255872133,0.0007487565998131679,0.9749054971079838,39,0.9913918607418308,0.06890397095187885,0.0007449509316554888
0.42,0.58,0.07999999999999999,21996,21951,45,0.0020458265139116204,19,26,12,18,8,7,7925,13478,219,329,0.960140537921008,0.9840110973205811,0.37601931574871306,0.9750353059086146,563,21433,15,30,0.02664298401420959,0.001399710726449867,0.9773232,0.9974782,0.0020708,0.0012724,0.0015726892889616293,0.9793512405489287,0.9987490082380821,0.3759261974464081,0.9914568791917499,0.07761156110316654,0.0008629651310180325,0.9750353059086146,45,0.9914761921836197,0.07821118396407423,0.0008610549361517217
0.41000000000000003,0.59,0.08999999999999997,21996,21946,50,0.0022731405710129113,22,28,14,19,9,8,7923,13477,218,328,0.9602472427584535,0.9840817816721431,0.37596828579239955,0.9751207509341109,563,21433,17,33,0.03019538188277087,0.0015396817990948536,0.9771951,0.9973632,0.0023343,0.0014406,0.0017767329378068739,0.9794815036740263,0.9988020742681908,0.37590375693208583,0.9915393991957728,0.08670781014326231,0.0009840115860202745,0.9751207509341109,50,0.9915595150856837,0.08740898295228214,0.0009818235788520361
0.4,0.6,0.09999999999999998,21996,21941,55,0.0025004546281142026,25,30,14,20,10,11,7923,13476,217,325,0.9605965082444229,0.9841524866720222,0.3759172325782781,0.9752973884508455,563,21433,21,34,0.037300177619893425,0.0015863388233098494,0.9770697,0.9972343,0.0026057,0.0016246,0.0019936052873249684,0.9796223018318834,0.9988570431523053,0.37588316170842556,0.9916270277701414,0.09636337275148689,0.0011127860148811679,0.9752973884508455,55,0.9916417539875879,0.09649232894754534,0.0011108144826103548
0.39,0.61,0.10999999999999999,21996,21924,72,0.0032733224222585926,36,36,19,25,11,17,7918,13471,216,319,0.9612723078790822,0.9842186015927522,0.3757069877759533,0.9755975187009669,563,21433,28,44,0.0497335701598579,0.002052909065459805,0.9769441,0.9971069,0.0028734,0.0018045,0.002206528082378614,0.979759340488961,0.9989094320701706,0.37586246445809796,0.991711631453859,0.10568490076521192,0.0012406918046239258,0.9755975187009669,72,0.99172842395128,0.10605686816388188,0.0012421683782725187
0.38,0.62,0.12,21996,21913,83,0.003773413347881433,39,44,22,31,13,17,7915,13465,214,319,0.9612581977167841,0.9843555815483588,0.3757586820608771,0.975676539040752,563,21433,30,53,0.05328596802841918,0.002472822283394765,0.9768182,0.9969694,0.0031401,0.0019935,0.0024247521276595744,0.9798951688196104,0.9989608284114382,0.3758441326747012,0.9917951121182765,0.11488608842172332,0.0013750715458968473,0.975676539040752,83,0.9918128104859834,0.11537079980135363,0.0013761071039121672
0.37,0.63,0.13,21996,21908,88,0.004000727404982724,40,48,22,33,15,18,7915,13463,212,318,0.9613749544515973,0.9844972577696527,0.3757987949607449,0.9758079240460107,563,21433,33,55,0.0586145648312611,0.002566136331824756,0.9766825,0.9968225,0.0034272,0.0021856,0.0026525829423531553,0.9800412975349116,0.9990059273548266,0.3758217198145334,0.9918786075602603,0.12409336686496694,0.0015190908737164107,0.9758079240460107,88,0.9918928549576013,0.12421568187195468,0.0015190224685422695
0.36,0.64,0.14,21996,21904,92,0.004182578650663757,43,49,24,34,15,19,7913,13462,212,317,0.9614823815309842,0.9844961240310077,0.3757304601899196,0.9758491599707815,563,21433,34,58,0.06039076376554174,0.002706107404469743,0.9765481,0.9966621,0.003706,0.0023886,0.0028840923713402437,0.9801806494869988,0.9990484270729063,0.3758038139057139,0.9919578442961976,0.13284052616792855,0.0016711177657858483,0.9758491599707815,92,0.9919720302711332,0.13297132598375802,0.0016726405692286343
0.35,0.65,0.15000000000000002,21996,21900,96,0.00436442989634479,45,51,25,35,16,20,7912,13461,211,316,0.9615945551774429,0.9845669982445875,0.3757077625570776,0.9759360730593607,563,21433,36,60,0.06394316163410302,0.002799421452899734,0.9764096,0.996495,0.0039983,0.0026012,0.003126668644298963,0.9803292504420424,0.9990938429041623,0.3757849780255944,0.9920423909381253,0.1421656583109242,0.0018289201702870218,0.9759360730593607,96,0.9920541154850211,0.14203988204130677,0.0018265211679776854
0.33999999999999997,0.66,0.16000000000000003,21996,21897,99,0.004500818330605565,47,52,25,36,16,22,7912,13460,211,314,0.9618283491368831,0.9845658693584961,0.37566789971228937,0.976024112892177,563,21433,38,61,0.0674955595026643,0.00284607847711473,0.9762805,0.9963233,0.0042847,0.0028168,0.003368897504091653,0.9804815693803239,0.9991376709916493,0.37576822856166636,0.992127300737295,0.15152519806478643,0.0019860507685903208,0.976024112892177,99,0.9921367073725648,0.15116355997758887,0.0019853706367256333
0.32999999999999996,0.67,0.17000000000000004,21996,21891,105,0.004773595199127114,49,56,25,38,18,24,7912,13458,209,312,0.9620622568093385,0.9847076900563401,0.37567950299209724,0.9762002649490658,563,21433,42,63,0.07460035523978685,0.002939392525544721,0.9761495,0.9961369,0.0045686,0.0030463,0.003618858096926714,0.9806296044107108,0.9991807041791408,0.3757553304154273,0.9922100295560848,0.16065180615422323,0.0021531593803323255,0.9762002649490658,105,0.9922217970984749,0.16056277098190605,0.002153970197396426
0.32,0.6799999999999999,0.17999999999999997,21996,21884,112,0.005091834879068922,52,60,25,41,19,27,7912,13455,208,309,0.9624133317114706,0.9847764034253093,0.3756625845366478,0.9763754341071103,563,21433,46,66,0.08170515097690942,0.0030793635981897073,0.9760051,0.9959351,0.0048726,0.0032885,0.0038843019321694854,0.9807840684519389,0.9992210383847282,0.3757406768254585,0.9922935188235713,0.16986876083158287,0.002335052482336081,0.9763754341071103,112,0.9923066595650555,0.16994416118229827,0.0023365170658056615
0.31,0.69,0.18999999999999997,21996,21874,122,0.0055464629932715035,58,64,28,44,20,30,7909,13452,207,306,0.9627510651247717,0.9848451570393147,0.37556002560117036,0.9765474993142543,563,21433,50,72,0.08880994671403197,0.003359305743479681,0.9758665,0.9957137,0.0051782,0.0035482,0.004161265557374068,0.9809460347571796,0.9992592717480163,0.37572975749806614,0.9923784436544446,0.17924501251646352,0.0025270860658138557,0.9765474993142543,122,0.9923916681348348,0.17934371934513346,0.0025278671407546064
0.3,0.7,0.19999999999999998,21996,21870,126,0.0057283142389525366,61,65,30,45,20,31,7907,13451,207,305,0.9628592303945446,0.9848440474447211,0.3754915409236397,0.9765889346136261,563,21433,51,75,0.0905861456483126,0.0034992768161246674,0.9757294,0.9954845,0.0054914,0.0038147,0.004445330073649754,0.9811171064785161,0.9992965164211919,0.3757186407177854,0.9924661732284784,0.18892391715901352,0.0027234619454942115,0.9766335909277973,127,0.9924730826313526,0.1883524804255999,0.0027251511467109774
0.29000000000000004,0.71,0.20999999999999996,21996,21863,133,0.006046553918894345,63,70,31,47,23,32,7906,13449,204,304,0.9629719853836785,0.985058228960668,0.3755202854137127,0.9767643964689201,563,21433,55,78,0.09769094138543517,0.003639247888769654,0.9755849,0.9952391,0.0058131,0.0040962,0.004741949849972723,0.98128923243708,0.9993325660570831,0.3757090449724447,0.9925535224145925,0.19856660204767532,0.0029328483366592795,0.9767643964689201,133,0.9925594167745058,0.19789937167863536,0.0029333187043051956
0.28,0.72,0.21999999999999997,21996,21860,136,0.006182942353155119,64,72,31,49,23,33,7906,13447,204,303,0.9630892922402241,0.9850560398505604,0.37552607502287283,0.9768069533394328,563,21433,56,80,0.0994671403197158,0.0037325619371996453,0.9754426,0.9949712,0.0061355,0.0043968,0.005050749131660303,0.9814643746707926,0.9993652089507145,0.37570377795159987,0.9926397978832623,0.20809785193959382,0.0031555680140950264,0.9768069533394328,136,0.9926422773044379,0.20707411638670628,0.0031547144554471777
0.27,0.73,0.22999999999999998,21996,21854,142,0.006455719221676669,67,75,32,51,24,35,7905,13445,203,301,0.9633195223007556,0.9851260257913247,0.37549190079619293,0.976937860345932,563,21433,59,83,0.10479573712255773,0.003872533009844632,0.9752954,0.9946779,0.0064664,0.004723,0.005378716866703036,0.9816430969219361,0.9993980570233212,0.37570253390805836,0.9927274735237943,0.21778901583292712,0.003396142467904701,0.976937860345932,142,0.9927308696328381,0.21688130709655207,0.003396353975872746
0.26,0.74,0.24,21996,21845,151,0.006864884524458993,70,81,34,56,25,36,7903,13440,202,300,0.9634280141411679,0.985192786981381,0.37550926985580224,0.9770199130235753,563,21433,61,90,0.108348134991119,0.004199132179349601,0.9751423,0.9943649,0.0068157,0.0050635,0.005722526668485179,0.9818341872701773,0.9994254909735445,0.37570031485928385,0.9928164326334041,0.2276242677113949,0.003651361979288982,0.9770199130235753,151,0.9928177415965337,0.22650432602698986,0.0036493593971889224
0.25,0.75,0.25,21996,21836,160,0.0072740498272413166,74,86,34,60,26,40,7903,13436,201,296,0.9638980363458959,0.9852606878345678,0.3754808572998718,0.9772394211394029,563,21433,66,94,0.1172291296625222,0.004385760276209584,0.9749895,0.9940192,0.0071638,0.0054395,0.006088033092380433,0.9820245273087344,0.999455739494983,0.37570674968594797,0.9929067154214014,0.23761181973914072,0.003927059098404256,0.9772394211394029,160,0.9929056247876649,0.23624878740853514,0.003926143001272942
0.24,0.76,0.26,21996,21829,167,0.007592289507183124,77,90,35,62,28,42,7902,13434,199,294,0.9641288433382138,0.9854030660896355,0.37546383251637727,0.9774153648815795,563,21433,70,97,0.12433392539964476,0.00452573134885457,0.9748303,0.9936475,0.007521,0.0058409,0.006472808860701946,0.9822175582556407,0.9994853942392119,0.3757170312264204,0.9929975741677599,0.2476687076233077,0.004221558256050542,0.9774153648815795,167,0.9929964928328794,0.24632332464689538,0.004220860097097856
