delta,amp_lo,amp_hi,N_total,N_keep,N_erasure,Erasure_frac,Erasure_atom,Erasure_bkd,Erasure_TP,Erasure_TN,Erasure_FP,Erasure_FN,Keep_TP,Keep_TN,Keep_FP,Keep_FN,F1_data,F0_data,f_kept,F_data,N_error,N_correct,N_erase_error,N_erase_correct,P_erase_given_error,P_erase_given_correct,mean_dist_to_thld,median_dist_to_thld,eps_atom_cdf,eps_bkd_cdf,eps_cdf,F1_cdf,F0_cdf,F1_cond_cdf,F0_cond_cdf,f_kept_cdf,F_cdf,P_erase_error_cdf,P_erase_correct_cdf,eps_atom_loss,eps_loss,F1_loss,F0_loss,F1_cond_loss,F0_cond_loss,f_kept_loss,F_loss_cdf,P_erase_error_loss,P_erase_correct_loss
0.19232968,0.007670320000000008,0.39232968,21996,17010,4986,0.22667757774140754,444,4542,205,4433,109,239,7771,9020,161,58,0.992591646442713,0.9824637839015358,0.4602586713697825,0.9871252204585538,567,21429,348,4638,0.6137566137566137,0.21643567128657426,0.14412865356331042,0.1543499999999991,0.034149514158885286,0.37496131888623296,0.2467772826746787,0.8948381921226201,0.6250386811137636,0.9264769291318901,0.9999999999999944,0.4822872779296694,0.9645407582859862,0.18264314379309404,0.2489437835207239,0.03427308448983318,0.24682375918622315,0.8943238379943947,0.6250386811137636,0.9260628689446314,0.9999999999999944,0.4822553312484013,0.9643434243713339,0.18239080023040932,0.2490120406879483
0.21156264,-0.011562639999999985,0.41156264,21996,14495,7501,0.341016548463357,483,7018,229,6905,113,254,7747,6548,157,43,0.9944801026957638,0.9765846383296047,0.5374266988616765,0.9862021386685065,567,21429,367,7134,0.6472663139329806,0.33291334173316534,0.16340574956672418,0.1772441666666678,0.0375773542283923,0.5217687937709421,0.3396576926918589,0.8928623886308827,0.47823120622905774,0.9277237942744415,0.9999999999999997,0.5481709590918211,0.9603802829879027,0.199356194310972,0.3443971858891531,0.03771345787719621,0.3397088831576961,0.8923408496724835,0.47823120622905774,0.9273130305906387,0.9999999999999997,0.5481359300894721,0.9601576604174147,0.19907875652838916,0.344484983924684
0.23079561,-0.03079561,0.43079561,21996,12595,9401,0.4273958901618476,514,8887,249,8770,117,265,7727,4683,153,32,0.9958757571852043,0.9683622828784119,0.6160381103612544,0.9853116315998411,567,21429,382,9019,0.673721340388007,0.42087824910168464,0.17508119083076243,0.18540583333333252,0.041008857258181236,0.6656483494049108,0.43071279209767793,0.8908599530480772,0.3343516505950892,0.9289553504123614,1.0,0.6335814947913516,0.9549874247173362,0.21580486840118815,0.4379725480814595,0.04115625473403131,0.43076823032816114,0.8903328859043751,0.3343516505950892,0.9285484629796592,1.0,0.6335458088113566,0.9547321781876336,0.21550847880776713,0.4380789132449747
0.25002858,-0.05002857999999999,0.45002858,21996,10608,11388,0.5177304964539007,556,10832,278,10708,124,278,7698,2745,146,19,0.9975379033303097,0.9494984434451746,0.7274698340874811,0.9844457013574661,567,21429,402,10986,0.708994708994709,0.5126697466050679,0.18644636847266105,0.1952966666666655,0.04444434446337876,0.7885103774131847,0.5086568453803721,0.8888307633030631,0.2114896225868152,0.9301716317129778,0.9999999999999998,0.7314596784103075,0.9489233641888581,0.23199145822609593,0.5180028162750291,0.044605277981333014,0.5087173747036143,0.8882964960731906,0.2114896225868152,0.9297691054816553,0.9999999999999998,0.7314265924367922,0.9486312561386592,0.23168400116762822,0.5181260223351012
0.26926155,-0.06926155,0.46926155,21996,9238,12758,0.5800145480996545,582,12176,297,12048,128,285,7679,1405,142,12,0.9984397347549083,0.9082094376212023,0.8325395107166054,0.9833297250487119,567,21429,413,12345,0.7283950617283951,0.5760884782304354,0.19432051386058397,0.20491083333333432,0.04788413629013209,0.8799222534473655,0.5669812031090408,0.886774700919928,0.12007774655263448,0.9313726771284521,1.0,0.8269940130299872,0.943245614854954,0.247918288478336,0.5777593952941011,0.04805643304008954,0.5670460063010937,0.8862340496868496,0.12007774655263448,0.9309733060302008,1.0,0.8269681180379947,0.9429171247934105,0.24758557048186156,0.5778955679783042
0.28849451,-0.08849450999999997,0.48849451,21996,8582,13414,0.6098381523913439,603,12811,318,12680,131,285,7658,773,139,12,0.9984354628422425,0.8475877192982456,0.8937310650198089,0.9824050337916569,567,21429,416,12998,0.7336860670194003,0.6065612021092911,0.1984650841782215,0.2081616666666663,0.051328548636231916,0.9391807835207572,0.6052472711003317,0.8846916532314586,0.06081921647924278,0.9325585290457145,0.9999999999999993,0.9038783909174255,0.939041111752736,0.26358769835717805,0.6167887958844126,0.05151314939200477,0.6053167019992456,0.884145039107977,0.06081921647924278,0.9321637285126578,0.9999999999999993,0.903861481639132,0.9386854071445764,0.263246643666986,0.616934134957056
0.30772748,-0.10772747999999999,0.50772748,21996,8081,13915,0.6326150209128932,633,13282,343,13145,137,290,7633,308,133,7,0.9990837696335079,0.6984126984126984,0.9454275460957803,0.982675411458978,567,21429,427,13488,0.7530864197530864,0.629427411451771,0.20201516019882595,0.20830000000000032,0.05477789981278712,0.9726510309801532,0.6274262440121763,0.8825815091350031,0.027348969019846875,0.9337292356581559,1.000000000000001,0.9542033140601957,0.9367642170397101,0.2790020728475933,0.6391962821661838,0.05497489609403189,0.6275003370397603,0.8820276502277564,0.027348969019846875,0.9333377987337784,1.000000000000001,0.9541942047496325,0.9363913138759178,0.2786403684353378,0.6393483699154968
0.32696045,-0.12696045,0.52696045,21996,7880,14116,0.6417530460083651,659,13457,367,13316,141,292,7609,137,129,5,0.9993433149461518,0.5150375939849624,0.966243654822335,0.982994923857868,567,21429,433,13683,0.763668430335097,0.6385272294554108,0.20366465576886728,0.2090608333333321,0.0582324995965738,0.9891220534239064,0.6390016097608076,0.8804441656919716,0.010877946576093638,0.9348848471781142,0.9999999999999993,0.9812004692715305,0.9361089814944782,0.29416379267270304,0.6506504980985643,0.05844060204643785,0.6390798799721061,0.8798847616677703,0.010877946576093638,0.9344973493761106,0.9999999999999993,0.9811963923493509,0.9357290355185198,0.29378744202497015,0.6508067518539865
0.34619342,-0.14619341999999996,0.54619342,21996,7783,14213,0.6461629387161302,679,13534,387,13391,143,292,7589,62,127,5,0.999341585462207,0.328042328042328,0.9757163047667994,0.9830399588847488,567,21429,435,13778,0.7671957671957672,0.6429604741238508,0.2045631641806794,0.2090608333333321,0.061692656190270874,0.9961840810341169,0.6447089238358473,0.8782795239099195,0.0038159189658830443,0.9360254182216204,0.9999999999999934,0.9932992996602296,0.9364540927234795,0.3090752658580817,0.6560468885555837,0.06191410474201578,0.6447922137007585,0.8777128567264235,0.0038159189658830443,0.9356423128876088,0.9999999999999934,0.9932977284659944,0.9360736555819366,0.3086915376926067,0.6562069136298788
0.36542638,-0.16542637999999998,0.56542638,21996,7711,14285,0.6494362611383888,704,13581,411,13436,145,293,7565,17,125,4,0.9994715286035143,0.11971830985915492,0.9815847490597848,0.9832706523148749,567,21429,438,13847,0.7724867724867724,0.6461804097251388,0.20531297958231223,0.2090608333333321,0.06515867243030973,0.9988220977341131,0.6476583626214397,0.8760874910646204,0.001177902265886826,0.9371510065159266,0.9999999999999571,0.997914305762139,0.9372820902994916,0.3237389108110541,0.6586006123909958,0.06539132161448977,0.647745865199214,0.8755144225401509,0.001177902265886826,0.9367711244160051,0.9999999999999571,0.9979137876599956,0.9369030332764929,0.32333438678427573,0.6587635749034901
