delta,amp_lo,amp_hi,N_total,N_keep,N_erasure,Erasure_frac,Erasure_atom,Erasure_bkd,Erasure_TP,Erasure_TN,Erasure_FP,Erasure_FN,Keep_TP,Keep_TN,Keep_FP,Keep_FN,F1_data,F0_data,f_kept,F_data,N_error,N_correct,N_erase_error,N_erase_correct,P_erase_given_error,P_erase_given_correct,mean_dist_to_thld,median_dist_to_thld,eps_atom_cdf,eps_bkd_cdf,eps_cdf,F1_cdf,F0_cdf,F1_cond_cdf,F0_cond_cdf,f_kept_cdf,F_cdf,P_erase_error_cdf,P_erase_correct_cdf,eps_atom_loss,eps_loss,F1_loss,F0_loss,F1_cond_loss,F0_cond_loss,f_kept_loss,F_loss_cdf,P_erase_error_loss,P_erase_correct_loss
0.0,0.3,0.3,27216,27216,0,0.0,0,0,0,0,0,0,15329,11741,22,124,0.9919756681550508,0.9981297288106775,0.5677910052910053,0.9946355085243974,146,27070,0,0,0.0,0.0,,,0.0,0.0,0.0,0.9977401907190341,0.9999999498966129,0.9977401907190341,0.9999999498966129,0.5677910052910053,0.9987168789614599,0.0,0.0,0.0,0.0,0.9977170103175007,0.9999999498966129,0.9977170103175007,0.9999999498966129,0.5677910052910053,0.9987037173379701,0.0,0.0
0.02764668,0.27235332,0.32764667999999997,27216,27175,41,0.001506466784244562,22,19,13,18,1,9,15316,11723,21,115,0.9925474693798199,0.9982118528610354,0.567838086476541,0.9949954001839927,146,27070,10,31,0.0684931506849315,0.0011451791651274474,0.015936239837398083,0.018305000000001403,0.00015798380275373718,6.275041745107401e-07,8.997299513368131e-05,0.9976599484077975,0.9999993693147959,0.9978175874247135,0.9999999968189685,0.567752385891473,0.9987609286783883,0.03441701800525287,4.587065284704505e-05,0.00015942964966356816,9.079393400411114e-05,0.9976359590256921,0.9999993693147959,0.9977950371388992,0.9999999968189685,0.567752031010384,0.998748126482313,0.03434652654753582,4.6331185452005e-05
0.05529336,0.24470663999999998,0.35529336,27216,27137,79,0.0029027042915931805,38,41,20,39,2,18,15309,11702,20,106,0.9931235809276678,0.9982938065176591,0.5680436304676272,0.9953568928031838,146,27070,20,59,0.136986301369863,0.002179534540081271,0.02811251054852283,0.027642500000000014,0.0003161063305265983,6.351827166239943e-06,0.0001822276480226339,0.9975771351272897,0.9999936480115806,0.9978925752875236,0.9999999998387459,0.5677149763246997,0.9988035833595426,0.06774296084500667,9.542767500686299e-05,0.0003190130627426257,0.00018387806442968384,0.9975524620319277,0.9999936480115806,0.9978707958507335,0.9999999998387459,0.5677142627431921,0.9987912203664615,0.06767451198748689,9.627757082477544e-05
0.08294003,0.21705997,0.38294003,27216,27083,133,0.004886831275720165,65,68,33,64,4,32,15296,11677,18,92,0.9940213153106316,0.9984608807182557,0.5681793006683159,0.9959384115496805,146,27070,36,97,0.2465753424657534,0.003583302548947174,0.04586197994987432,0.04790833333333461,0.0004745062988998471,5.126189190196584e-05,0.00029157625923508824,0.9974916791613212,0.9999487381015764,0.9979652199442678,0.999999999993478,0.5676871089661844,0.9988448815899598,0.10002129943324302,0.00016344654733372853,0.0004788471359960392,0.00029404094749373963,0.9974661646908156,0.9999487381015764,0.997944027330187,0.999999999993478,0.5676860431362801,0.9988328530074579,0.09988474141331262,0.0001647756848617373
0.11058671,0.18941328999999998,0.41058671,27216,27036,180,0.006613756613756613,80,100,39,95,5,41,15290,11646,17,83,0.9946009236973915,0.9985423990396982,0.5686122207427134,0.9963012279923066,146,27070,46,134,0.3150684931506849,0.004950129294421869,0.05966937037036997,0.06268916666666549,0.0006333226911786173,0.00033211016797596304,0.0005031359293314385,0.9974035070785644,0.9996678898318138,0.9980355856615677,0.9999999999997896,0.5677170492086584,0.9988847684882711,0.13128195610131654,0.00033511528294701747,0.0006391429105945261,0.0005064405975646114,0.9973772592135121,0.9996678898318138,0.9980151335107615,0.9999999999997896,0.5677156199330798,0.9988731602904867,0.1311547510988952,0.0003368636381658951
0.13823339,0.16176660999999998,0.43823339,27216,26949,267,0.009810405643738977,101,166,49,161,5,52,15280,11580,17,72,0.9953100573215217,0.9985341036474951,0.5696686333444655,0.9966974655831387,146,27070,57,210,0.3904109589041096,0.007757665312153676,0.08119688826466866,0.08302416666666668,0.0007926944625303071,0.0017315226212111234,0.0011984644371982392,0.9973125438941205,0.9982684773787834,0.9981037351980427,0.9999999999999946,0.5680216742814208,0.9989228804923089,0.1615532861261363,0.0009924454445540043,0.0007999401797605199,0.001202578490268436,0.9972854217145437,0.9982684773787834,0.9980838290721877,0.9999999999999946,0.5680198949598898,0.9989115767908565,0.16136015188113118,0.0009946995348033161
0.16588007,0.13411993,0.46588007,27216,26816,400,0.014697236919459141,119,281,55,275,6,64,15274,11466,16,60,0.9960871266466675,0.9986065145445044,0.5718227923627685,0.9971658711217184,146,27070,70,330,0.4794520547945205,0.012190616919098634,0.10516327083333271,0.1187937499999997,0.0009527608167387229,0.007288291084977638,0.003691033984922672,0.9972187129230864,0.9927117089150223,0.9981697299302186,0.9999999999999999,0.569351532123503,0.9989579329315701,0.19086295658676206,0.00345056119751552,0.0009615080298581889,0.003696000573853268,0.997190804707989,0.9927117089150223,0.9981505344618814,0.9999999999999999,0.5693493853350582,0.9989470079326737,0.19068561296780087,0.003453294565737019
0.19352674,0.10647325999999999,0.49352673999999996,27216,26583,633,0.02325837742504409,131,502,61,496,6,70,15268,11245,16,54,0.9964756559195928,0.9985791670366753,0.5763834029266824,0.9973667381409171,146,27070,76,557,0.5205479452054794,0.020576283708902843,0.13367800684570758,0.14769499999999858,0.0011136611382119301,0.02487375272239356,0.011382986436004716,0.9971219358228408,0.9751262472776064,0.9982336298232313,1.0,0.5736889723040085,0.9989866529085811,0.21923797901235414,0.011115940670023807,0.001123828210938458,0.011388759208448979,0.9970931198566091,0.9751262472776064,0.9982149419689741,1.0,0.5736864829568801,0.9989759363363068,0.2189968446944102,0.011119291139951151
0.22117342,0.07882657999999998,0.52117342,27216,26183,1033,0.03795561434450323,148,885,70,878,7,78,15259,10863,15,46,0.9969944462593924,0.9986210700496415,0.5845395867547646,0.9976702440514839,146,27070,85,948,0.5821917808219178,0.03502031769486517,0.16333357615359717,0.1860824999999991,0.001275535272524108,0.06923325909317135,0.030647474767757553,0.9970221324283828,0.9307667409068286,0.9982954935427985,1.0,0.5849953995843504,0.9990028715639753,0.24670476252097617,0.030369890942665533,0.0012872297298201934,0.030654114775422032,0.9969924746970547,0.9307667409068286,0.9982774871571335,1.0,0.5849925568078248,0.9989923428079172,0.24648505956803057,0.030373973721767072
0.2488201,0.0511799,0.5488200999999999,27216,25369,1847,0.06786449147560258,171,1676,79,1669,7,92,15250,10072,15,32,0.9979060332417223,0.9985129374442352,0.6023887421656352,0.9981473451850684,146,27070,99,1748,0.678082191780822,0.06457332840783155,0.19598512587980424,0.2162391666666666,0.0014385232245639225,0.15843204139932054,0.06929253389070376,0.996919220938865,0.8415679586006795,0.9983553783369711,1.0,0.6091862861199117,0.9989981190370271,0.2732890628520733,0.06903044536129821,0.0014516347071007276,0.06929997847255419,0.9968886215730738,0.8415679586006795,0.9983378434360176,1.0,0.6091831600378079,0.9989874422118756,0.27300766815051086,0.0690355729820494
