Amplitude,Uncertainty,Category,Truth,Weight,WeightClass
0.86583215,2.457838,TN,0,0.44610850123361184,C3L
0.5364344,3.604839,TN,0,0.8715242000680443,C7L
0.6234205,1.4793434,TN,0,0.08319080189009032,C1L
0.9146322,3.5489314,TN,0,0.8507884110633651,C7L
0.7842142,1.3405027,TN,0,0.031695630205704865,C1L
0.52423215,2.6640155,FN,1,0.5225784827300849,C4L
0.5402141,2.5585635,TN,0,0.48346697692190466,C3L
0.63195914,1.8299304,TN,0,0.21322138914090105,C1L
0.61634576,3.1516223,TN,0,0.7034288809236535,C5L
0.62183213,1.3007642,TN,0,0.0169568621068696,C1L
0.6950322,1.8054543,TN,0,0.20414335242930146,C1L
0.5852344,3.3053308,TN,0,0.7604384292538575,C6L
0.53435916,2.7474225,TN,0,0.5535136320391818,C4L
0.6706322,3.0899754,TN,0,0.6805644204354095,C5L
0.52423215,2.2462003,TN,0,0.3676133647470594,C2L
0.66831636,3.361422,TN,0,0.7812423143825209,C7L
0.5364344,2.7110293,TN,0,0.5400156153758823,C4L
0.7560344,3.2465606,TN,0,0.7386409193095425,C6L
0.54863214,3.1943777,FN,1,0.7192865988942094,C6L
0.5364344,2.8426783,TN,0,0.5888434292451415,C4L
0.6950322,3.0481708,TN,0,0.665059348405399,C5L
0.74151635,2.3862646,TN,0,0.419562362233771,C3L
0.81703216,3.369254,FN,1,0.7841471555755724,C7L
0.5431458,2.4518237,TN,0,0.44387783392163904,C3L
1.0610322,3.1576667,TN,0,0.7056707121426627,C5L
0.5199617,1.9301043,TN,0,0.2503752797421041,C2L
0.5852344,3.314571,FN,1,0.7638655632671407,C6L
0.49556172,1.4108413,TN,0,0.057783789391298926,C1L
0.50142044,2.7588522,TN,0,0.5577528382935513,C4L
0.61634576,3.5153482,TN,0,0.8383326063194316,C7L
0.7316344,2.1609871,TN,0,0.33600830683698063,C2L
0.49751636,1.6082544,TN,0,0.13100310820233027,C1L
0.6462321,2.5251517,TN,0,0.47107474339611316,C3L
0.8847457,3.6693375,FN,1,0.895446301662788,C7L
0.53435916,3.0505729,TN,0,0.6659502726941925,C5L
0.5608344,3.4805071,FN,1,0.8254102541116651,C7L
0.5120344,2.3501282,TN,0,0.4061595911295081,C2L
0.5746205,2.0970545,TN,0,0.312296094112404,C2L
0.63195914,1.2550453,TN,0,0.0,C1L
0.53435916,2.777368,TN,0,0.5646202359649383,C4L
0.5187457,2.9042988,TN,0,0.6116980981338583,C5L
1.0063778,2.8808918,TN,0,0.6030165841137158,C5L
0.7438322,3.2301133,FN,1,0.7325407157147422,C6L
0.52423215,2.9953165,TN,0,0.6454560098111828,C5L
0.68661416,3.6064155,FN,1,0.8721089143352616,C7L
1.0831164,2.978044,TN,0,0.6390497445523751,C5L
0.9162205,2.380107,TN,0,0.41727854582284996,C3L
0.5608344,2.0905747,TN,0,0.30989277567998114,C2L
0.52423215,2.4554908,TN,0,0.4452379390211079,C3L
1.0223591,3.1794229,FN,1,0.7137399544772219,C6L
0.7379779,2.1214437,TN,0,0.3213419001422267,C2L
0.8759591,2.6811893,TN,0,0.5289481407588424,C4L
0.49434575,3.1988852,FN,1,0.7209584032452921,C6L
0.5707164,2.510559,TN,0,0.46566239966809453,C3L
0.71357787,1.3921944,TN,0,0.05086776752680553,C1L
0.5431458,2.474705,TN,0,0.45236436900725835,C3L
1.0567617,3.951234,FN,1,1.0,C7L
0.55022043,2.5903487,TN,0,0.49525591439501243,C4L
0.5990205,1.9785036,TN,0,0.2683262859161156,C2L
0.69076174,3.2662811,FN,1,0.7459551328881395,C6L
0.5675457,4.607549,FN,1,1.0,C8L
0.63195914,4.199166,FN,1,1.0,C8L
0.7804344,4.4215956,FN,1,1.0,C8L
1.0870205,5.00359,FN,1,1.0,C8L
1.7946205,5.6687202,TP,1,0.0,C1R
1.6423618,4.0919976,TP,1,1.0,C1R
1.1602205,4.1491094,TP,1,0.9637781560307436,C1R
1.5262206,4.276501,TP,1,0.8829829673272904,C1R
1.5955163,3.0613623,FP,0,1.0,C8R
1.1990142,3.5036032,FP,0,1.0,C8R
1.4215457,2.5298193,TP,1,1.0,C8R
1.6626141,3.635555,TP,1,1.0,C8R
1.8434205,3.8783464,FP,0,1.0,C8R
1.2031617,2.4368572,FP,0,1.0,C8R
1.6899458,3.6281965,TP,1,1.0,C8R
1.1602205,2.7708275,FP,0,1.0,C8R
1.1287457,3.253744,FP,0,1.0,C8R
1.7320344,3.2357392,TP,1,1.0,C8R
1.6726205,3.2945428,FP,0,1.0,C8R
1.5103592,3.9135163,TP,1,1.0,C8R
1.3727459,2.9617834,TP,1,1.0,C8R
1.3971457,2.9854748,TP,1,1.0,C8R
