Amplitude,Uncertainty,Category,Truth,Weight,WeightClass
0.078504166666666,1.8344879,TN,0,0.4072961933625717,C4L
0.0578924999999984,1.8626705,TN,0,0.4158400408019904,C4L
0.0996691666666648,1.1642176,TN,0,0.20409680131310157,C1L
0.0999458333333336,1.0814683,TN,0,0.1790104929200261,C1L
0.1408924999999984,2.1395645,TN,0,0.49978332825206245,C6L
0.0528433333333308,1.0127906,TN,0,0.15819013598737383,C1L
0.0858358333333315,1.8032283,TN,0,0.3978195214651154,C4L
0.0563016666666673,1.4774082,TN,0,0.29904377944357935,C2L
0.078504166666666,1.5569273,TN,0,0.3231508192099557,C3L
0.0581691666666648,2.1879752,TN,0,0.5144595339689042,C6L
0.0250383333333349,1.779916,TN,0,0.3907521559749917,C4L
0.1061708333333327,2.421095,TN,0,0.5851322187569579,C7L
0.0440591666666651,1.8604224,TN,0,0.4151585059745239,C4L
0.0443358333333315,1.7803787,TN,0,0.39089242827812265,C4L
0.1132258333333318,2.110968,TN,0,0.4911140027355616,C6L
0.2244458333333336,2.192824,TN,0,0.5159294979702473,C6L
0.327504166666666,2.5184035,TN,0,0.6146322996067968,C7L
0.1414458333333336,2.2648528,TN,0,0.537765775618314,C6L
0.0307791666666669,2.6258242,TN,0,0.647197998748663,C7L
0.1220099999999975,1.2430719,TN,0,0.22800230006559966,C1L
0.0978016666666673,1.5662658,TN,0,0.32598188232382785,C3L
0.037004166666666,2.345418,TN,0,0.5621899514475935,C6L
0.0584458333333336,1.6809758,TN,0,0.3607574083496635,C3L
0.0333383333333313,2.1240835,TN,0,0.4950901025663683,C6L
0.0584458333333336,2.2126272,TN,0,0.52193304340652,C6L
0.0547108333333331,1.1782607,TN,0,0.208354112702984,C1L
0.166968333333334,2.4216354,TN,0,0.5852960466208263,C7L
0.0231708333333327,2.506124,TN,0,0.6109096418451871,C7L
0.0528433333333308,1.4444406,TN,0,0.28904930963441416,C2L
0.0250383333333349,1.9864293,TN,0,0.4533588043825518,C5L
0.083968333333334,1.4958135,TN,0,0.30462353699883443,C2L
0.113779166666667,1.1567479,TN,0,0.20183228429841074,C1L
0.0943433333333308,0.7145344,TN,0,0.06777067608442845,C1L
0.0584458333333336,1.9913183,TN,0,0.4548409554307631,C5L
0.037004166666666,1.6470687,TN,0,0.3504781193730214,C3L
0.0270441666666664,1.1194028,TN,0,0.1905107299702141,C1L
0.0701350000000007,1.5739412,TN,0,0.3283087594265974,C3L
0.0858358333333315,1.8457965,TN,0,0.4107245127210912,C4L
0.1100441666666664,2.7043304,TN,0,0.6709979673764155,C7L
0.0999458333333336,1.7476556,TN,0,0.3809720811793865,C4L
0.0302258333333317,2.0541108,TN,0,0.4738771529547566,C5L
0.1080383333333349,1.396749,TN,0,0.2745911065395336,C2L
0.0508374999999993,1.0352074,TN,0,0.1649860213662942,C1L
0.0443358333333315,1.4616085,TN,0,0.2942539365480132,C2L
0.0408774999999997,1.4675498,TN,0,0.2960551032534207,C2L
0.0440591666666651,1.6046782,TN,0,0.33762699971476856,C3L
0.0581691666666648,1.3001688,TN,0,0.24531181738705848,C2L
0.0584458333333336,2.213565,TN,0,0.5222173472013681,C6L
0.0270441666666664,1.2280003,TN,0,0.22343318823532343,C1L
0.0563016666666673,2.0729814,TN,0,0.47959797103010426,C5L
0.0333383333333313,2.752887,TN,0,0.6857184041912188,C7L
0.0446125000000003,1.6959059,TN,0,0.3652836229876056,C3L
0.0471716666666646,1.8593782,TN,0,0.41484194591632345,C4L
0.0286350000000006,2.1707308,TN,0,0.5092317152870114,C6L
0.0388716666666682,1.1579514,TN,0,0.2021971378035288,C1L
0.0440591666666651,1.2062894,TN,0,0.2168513037614823,C1L
0.083968333333334,1.3955826,TN,0,0.27423750028413707,C2L
0.0270441666666664,1.2650661,TN,0,0.2346700698722202,C1L
0.1358433333333309,1.2279842,TN,0,0.22342830735336885,C1L
0.0858358333333315,1.734823,TN,0,0.3770817454172111,C4L
0.0717258333333318,1.9039999,TN,0,0.42836947699179234,C5L
0.0333383333333313,2.1494656,TN,0,0.5027849493900138,C6L
0.0508374999999993,1.6896826,TN,0,0.36339696505789953,C3L
0.0251766666666642,1.3011956,TN,0,0.24562310245482352,C2L
0.0978016666666673,2.6095762,TN,0,0.6422722490592918,C7L
0.1338374999999994,2.0759847,TN,0,0.48050845256888364,C5L
0.0581691666666648,2.1385388,TN,0,0.4994723766607042,C6L
